更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,平均年齢,従業員数,資本金,企業URL,代表者
2024-08-01,株式会社 エーピーコミュニケーションズ,システムインテグレータ（SIer）,20,■事業内容■ITインフラ自動化のプロフェッショナルとして、お客様の課題解決のためにAzure Kubernetes ServiceやAnsibleなどを用いたクラウドネイティブ環境の内製化・自動化支援や、システムインテグレーションを行うと共に、「エンジニアから時間を奪うものをなくす」ためのプロダクト・サービスを提供しています。,東京都千代田区鍛冶町2-9-12神田徳力ビル3F,1995,,35.0,468,92百万円,http://www.ap-com.co.jp/,
2024-08-01,エプソンアヴァシス株式会社,システムインテグレータ（SIer）,4,■事業内容：・アプリケーション開発(Web/PC/モバイル向け) ・組込みシステム開発 ・サービス開発・運用 ・業務システム開発・運用 ・ソフトウェアテスト ・マニュアル制作 ・研究開発,長野県上田市下之郷乙1077-5上田リサーチパーク内,1980,,40.0,430,50百万円,https://avasys.jp/,
2024-08-01,株式会社アクシス,システムインテグレータ（SIer）,24,・システムインテグレーション事業・クラウドサービス事業・セキュリティサービス事業・デジタルコンサルティング事業・各種システムの開発・販売,東京都港区西新橋2-3-1 マークライト虎ノ門8F,1991,スタンダード市場,34.0,455,"6,375万円（2024年6月末現在）",https://www.axis-net.co.jp/,代表取締役 会長執行役員CEO 小倉 博文
2024-08-01,株式会社オープンアップシステム,システムインテグレータ（SIer）,4,■事業内容： ・WEBアプリの企画・開発・導入支援／・iOSアプリの企画・開発・導入支援／・Androidアプリの企画・開発・導入支援・システムコンサルテーション事業／・ソフトウェアパッケージの開発・販売・導入支援・サーバ・ネットワーク設計・構築・運用管理サービスの提供・パソコン教室の運営／・受託開発事業／・アウトソーシング事業／・コンピュータ機器の販売・保守サービス 他※労働者派遣事業許可番号：派13-305711,東京都千代田区神田練塀町300住友不動産秋葉原駅前ビル10F,1996,,,429,30百万円,https://www.openupsystem.co.jp/,
2024-08-01,株式会社ジール,システムインテグレータ（SIer）,38,【事業】■成長著しいDX領域で『国内唯一のBI/DWH専業のソリューションベンダー』として業界をリード『国内唯一のBI/DWH専業のソリューションベンダー』として業界をリードしてきました。国内外の主要なBI/DWH製品メーカーと強固な連携体制を構築しており、お客様の要件に合う最適な製品、ソリューションをご提供し、導入後のフォローも的確に行っています。今後のDXに関するニーズは、グローバル化やビッグデータなどの技術革新によって高度化・多様化することが予測されますが、お客様のニーズに応え続けることで、最も信頼されるビッグデータ時代のキープレイヤーを目指していきます。,東京都品川区上大崎2-13-17,2012,,35.0,445,100百万円,https://www.zdh.co.jp/,
2024-07-01,株式会社セイノー情報サービス,システムインテグレータ（SIer）,14,■事業内容：付加価値データ通信（VAN）サービスの提供、コンピュータによる情報処理、ソフトウェアの開発・販売、コンピュータおよび関連機器の販売・リース・レンタル、コンピュータシステムの管理・運営、情報機器の調達・製造・検査・納入・設置・回収・保管サービスの提供、データベース索引サービス、貨物運送取扱事業、倉庫業、不動産賃貸事業※その他上記に関する調査・研究・教育およびコンサルテーション、付帯する事業,岐阜県大垣市田口町1,1984,,41.7,482,100百万円,http://www.seino.co.jp/sis/,
2024-08-01,キヤノン電子テクノロジー株式会社,システムインテグレータ（SIer）,21,■企業概要当社は1970年に独立系SIerとして設立し、2010年にキヤノングループに加入。システムインテグレーターとして約50年間、実績と信頼により獲得した多数のお客様とのお取引があり、金融や流通、通信、学校、自治体など幅広い業種を対象としたICTソリューションを提供。,東京都港区海岸1-4-8,1970,,41.0,501,"2,399百万円",http://www.canon-electec.co.jp/,
2024-08-01,サイオステクノロジー株式会社,ITコンサルティング,41,◆サイオスグループについて◆サイオスグループは現在、海外子会社含め従業員数連結550名、売上高157億円に達し、連結売上高は11期連続で最高値を更新しています。持株会社であるサイオス（株）は東証スタンダード市場上場。サイオステクノロジー（株）はグループの主力企業です。,東京都港区南麻布2-12-3サイオスビル,2017,,,487,100百万円,https://www.sios.com/,
2024-08-01,ＪＴＰ株式会社,システムインテグレータ（SIer）,無,【イネイブラーとして、お客さまの未来を繋ぐ存在に】■ICTソリューション(インテグレーション・クラウド運用サービスKyrios・システム開発・ヘルプデスク) ■ライフサイエンス(医療機器サポート・化学分析機器サポート) ■AI 人工知能(Third AI)■デジタルマーケティング■人材育成(教育・研修・GAIT・Web試験配信プラットフォーム・研修運営支援) 2024年3月doda掲載求人より引用,東京都品川区北品川4-7-35御殿山トラストタワー 14Ｆ,1987,スタンダード,36.6,410,795 百万円,"Failed to retrieve page, status code: 410",代表取締役社長 森 豊
2024-08-01,豊田通商システムズ株式会社,システムインテグレータ（SIer）,85,■事業内容：トヨタグループを中心とした企業向けのＩＴ機能(含むソフトウェア)販売／インフラ・エンジニアリングサービス提供・ネットワークを活用したソリューションサービス・基幹システムの構築・保守・運用・インフラソリューション事業・リサイクルPCの販売など,愛知県名古屋市中村区名駅4-11-27シンフォニー豊田ビル,1994,,38.0,410,450百万円,https://www.ttsystems.com/,
2024-07-01,ユニシステム株式会社,システムインテグレータ（SIer）,6,■事業内容： ・システムコンサルティング・業務系アプリケーションソフトウェア開発・組込み系ソフトウェア開発・通信制御系ソフトウェア開発,東京都豊島区目白2-16-20TCS-HD南池袋ビル,1982,,36.0,410,100百万円,"Failed to retrieve page, status code: 410",
2024-08-01,株式会社宇部情報システム,システムインテグレータ（SIer）,36,■事業内容：ソフトウェア受託開発、画像処理、システム商品、CAE（コンピュータ支援エンジニアリング）、情報処理サービス、機器販売,山口県宇部市相生町8-1宇部興産ビル14F,1983,,40.0,427,100百万円,https://www.uis-inf.co.jp/,
2024-07-01,株式会社エルテス,ベンダ（ハードウェア・ソフトウェア）,7,■事業概要：主に「ソーシャルリスク」「Webレピュテーション」「内部脅威」「デジタル信用調査」「警備」「情報銀行・電子政府」の6つの領域で事業を展開しています。今後も、新たなテクノロジーの進化と共に新たなデジタルリスクの発生が予想される場合は、既存の事業領域にとらわれることなく領域を拡張していくことで、発生しうるデジタルリスクを未然に防いでいきます。例）「ソーシャルリスク」：SNSにおけるリスクは年々増加し、いつどこで起きるか予想がつきません。エルテスでは24時間365日、SNS上の投稿を分析することで、リスクの予兆の緊急通知から、沈静化に向けた対策までワンストップで支援いたします。,東京都千代田区霞が関3-2-5霞が関ビルディング6F,2004,グロース市場,32.0,122,"1,223百万円",https://eltes.co.jp/,
2024-07-01,株式会社エヌ・ティ・ティ・データ・エンジニアリングシステムズ,システムインテグレータ（SIer）,4,■事業内容： 同社はNTTデータグループで製造業分野に特化した唯一の企業です。1977年に日立造船情報システム(株主：日立造船)として設立、約40年間にわたりお客様企業の製品の開発・生産から販売・会計までの企業活動サイクルを最新のIT技術を活用し、トータルでサポートしています。2006年3月に株主が株式会社NTTデータに変更になった事に伴い、NTTデータグループにおける製造業向けITソリューションを戦略的に提供する中核会社として地位を確立しています。,東京都大田区西蒲田7-37-10グリーンプレイス蒲田,1977,,44.0,410,100百万円,https://www.nttd-es.co.jp/,
2024-08-01,イー・ガーディアン株式会社,ITアウトソーシング,11,■企業概要：業界トップクラスの導入実績を基盤に、インターネットサービスの高品質で費用対効果の高い運用を実現する成長企業。「We guard all」をテーマに全てのインターネット利用者に安心・安全をベースに「楽しい」を提供しています。■事業内容：・ブログ、SNS、掲示板企画コンサルティング・リアルタイム投稿監視業務・ユーザーサポート業務・オンラインゲームカスタマーサポート業務・コンプライアンス対策、風評、トレンド調査業務・コミュニティサイト企画、サイト運営代行業務、広告審査代行サービス業務 等,東京都港区虎ノ門1-2-8虎ノ門琴平タワー8階,1998,プライム市場,32.5,2547,364百万円,http://www.e-guardian.co.jp/,
2024-08-01,丸紅ITソリューションズ株式会社,ITコンサルティング,14,【企業概要】■スピードの早いITマーケットに即応するために新設2014年4月に丸紅/丸紅情報システムズ/野村総合研究所の共同出資のもと、丸紅情報システムズが行う事業のうち「システム開発・エンハンス事業」などを分割・移管し、3社の技術・ノウハウを融合させることで、丸紅グループ向けのIT基盤および業務システムの強化、丸紅グループ以外の一般顧客に向けたクラウドなどの新技術を用いたソリューションの提供を目的に設立されました。長期にわたる実績と、新しさを兼ね備えた会社です。,東京都文京区後楽2-6-1,2014,,,425,410百万円,http://www.marubeni-itsol.com/,
2024-08-01,株式会社オプティム,ベンダ（ハードウェア・ソフトウェア）,92,■概要：2000年の創業以来「ネットを空気に変える」というミッションを掲げ、第4次産業革命の中心的な企業になるべく、AIを始めとしたコアテクノロジーの開発、数々の特許をベースとしたサービス・プロダクト開発、 IoTプラットフォームを軸としたビジネスモデルの創出により、産業構造の変革、新たな価値創造・課題解決に挑戦しています。,佐賀県佐賀市本庄町1,2000,プライム市場,32.8,406,444百万円,http://www.optim.co.jp/,
2024-06-01,ＮＥＣマグナスコミュニケーションズ株式会社,システムインテグレータ（SIer）,3,■企業概要：当社は2015年4月にネッツエスアイ東洋と、そして2016年4月にはトーヨーアルファネットと統合し、Ｍ２Ｍ製品、ＣＡＴＶ製品、アクセスネットワーク製品、 光伝送装置、クロック分配等のネットワーク製品、そして自動券売機、金銭処理ユニット等のメカトロニクス製品、加えて自動車教習所システムなど、 幅広い製品分野を担当する企業として、顧客の皆様のニーズに合致したソリューションを提供していきます。,神奈川県川崎市幸区新小倉1-2,1985,,,412,100百万円,http://www.necmagnus.com/,
2024-08-01,ギグワークスクロスアイティ株式会社,ベンダ（ハードウェア・ソフトウェア）,9,■事業内容： ・ITコンサルティングサービス・ソフトウェア開発／パッケージの企画／開発／販売・コールセンター向けCRM システム／CTI システム／クラウドサービス・Webシステムの開発･企画／構築／運営・システムインテグレーション・マルチメディアコンテンツの企画／制作・システム／エンジニアリング開発受託／スタッフ支援サービス,東京都港区西新橋2-11-6,1974,,,408,100百万円,https://gigxit.co.jp/,
2024-08-01,Ｉ＆Ｊデジタルイノベーション株式会社,システムインテグレータ（SIer）,10,■事業内容国内外に展開するJTB、および、JTBグループ各社のITサービス事業で、システム開発、システム運用・保守、ITサポートを行っています。,東京都多摩市永山2-1-7JTB フォレスタ西館,1984,,,386,100百万円,https://www.ibm.com/jp-ja/about/subsidiaries/ijdi,
2024-06-01,ハマゴムエイコム 株式会社,システムインテグレータ（SIer）,15,■事業内容：（1）アプリケーション事業（システム化支援/業務アプリケーション開発）（2）ＩＴインフラ開発事業（ネットワーク/サーバ構築）（3）SAP事業(ERP導入支援/インフラの構築/アドオン開発/周辺システム連携）（4）システム運用などのシステムサービス（システム運用・保守/システムコンサルティング/データベースの支援サービス） 等,神奈川県横浜市神奈川区新浦島町1-1-25,1970,,41.8,379,100百万円,http://www.aicom.co.jp,
2024-07-01,株式会社エル・エス・コーポレーション,システムインテグレータ（SIer）,1,■事業内容：１）オフィスサポート事業（２）ITシステム事業（３）施設管理事業（４）保養所事業（５）警備保障事業,愛知県刈谷市一里山町金山100,2000,,40.0,383,20百万円,http://www.lsc.jp/,
2024-07-01,NEXT株式会社,システムインテグレータ（SIer）,4,【東証グロース上場のITbookホールディングス株式会社のグループ中核企業】■エンジニアリングサービス(SES)■システムサービス事業(システム開発、ITサービス)■デジタルサービス事業(IoT/AIサービス、組み込み製品)＜許認可＞電気通信事業届出番号：A-02-18332労働者派遣事業許可番号：派13-306066有料職業紹介事業許可番号：13-ユ-307259,東京都港区虎ノ門2-3-17 虎ノ門2丁目タワー17F,2012,,43.0,359,1億円,http://www.nextkk.co.jp/,代表取締役 松場 清志
2024-06-01,株式会社豊通シスコム,システムインテグレータ（SIer）,6,■事業内容：豊田通商グループを中心とした企業向けのシステム構築・運用・コンサルティングをはじめとした各種サービスの提供■ミッション：豊田通商グループのビジネス・社風を理解し、ICTを活用した業務改革・事業拡大に貢献,愛知県名古屋市中村区名駅4-11-27シンフォニー豊田ビル,2018,,,388,310百万円,https://www.tsyscom.co.jp/,
2024-08-01,日本ナレッジ株式会社,システムインテグレータ（SIer）,10,■事業内容：・Software-Testing － 検証・テスト －当社のソフトウェアテストは、検証専門会社の知見＆豊富な検証実績に基づく第三者検証サービスです。 テストプロセスのすべてをカバーする、 第三者テストサービス（テスト計画・テスト設計・テスト実行・結果分析・プロセス改善）をいたします。・Development － ソフトウェア開発 －当社には、基幹業務パッケージ開発に30年携わり続けたノウハウがあります。 今までの実績と経験を活かし、多様な業種に対してシステム開発をすることが可能です。,東京都台東区寿3-19-5喫煙具協会ビルJSビル 9F,1985,グロース市場,,428,271百万円,https://www.know-net.co.jp/,
2024-08-01,株式会社ゼネテック,ベンダ（ハードウェア・ソフトウェア）,54,■ゼネテックとは：ハードウェアとソフトウェアの融合によるシステムソリューション事業で「日本のものづくり」を支えながら事業成長してきました。現在は、製造業をメインにDX・ファクトリーオートメーション事業や災害時の位置情報受信アプリ「ココダヨ」の開発・販売など事業領域を広げ、2020年3月にスタンダード上場を果たしました。,東京都新宿区西新宿6-5-1新宿アイランドタワー25F,1985,スタンダード市場,40.0,350,366百万円,https://www.genetec.co.jp/,
2024-08-01,株式会社CLIS,システムインテグレータ（SIer）,9,■企業概要：＜保険業務システムの開発に特化した専門性の高いサービスをご提供します。＞CLISは、プルデンシャル・グループと日本アイ・ビー・エム株式会社が出資する、金融知識と最新技術を有したシステム・インテグレーターです。,東京都品川区南大井6-26-1大森ベルポートA館,1990,,36.0,394,100百万円,http://www.clis.co.jp/,
2024-08-01,株式会社つうけんアドバンスシステムズ,システムインテグレータ（SIer）,3,■事業内容：ソフトウェア開発、システムインテグレーション（SI）・ネットワークインテグレーション（NI）、保守、ノンプロダクト、リセール事業、MSP事業、NTTdocomo製品販売代理店,北海道札幌市白石区本通19-南6-8,2001,,40.0,394,350百万円,http://www.tads.co.jp/,
2024-08-01,株式会社日東テクノブレーン,システムインテグレータ（SIer）,5,■事業内容： （1）データ処理…データ入力、文書の電子化、データの集計、画像データ処理（2）人材サービス…ソフトウエア開発技術者、システム運用管理、システムオペレータ、ヘルプデスク（3）システムインテグレーション…システムコンサルティング、ソフトウエア開発、ネットワーク構築、パッケージソフト販売・導入支援,埼玉県所沢市西所沢1-14-14,1974,,,358,20百万円,http://www.nitto-tech.co.jp/,
2024-08-01,株式会社ゼンリンデータコム,システムインテグレータ（SIer）,11,■事業内容：インターネット上で高度な地図情報提供を行うためには、詳細かつ最新の地図データ位置情報を持つ各種コンテンツ、最新のインターネット技術などが必要不可欠です。ゼンリンデータコムは、ゼンリンが保有する資源・ノウハウを用いて付加価値の高い地図ASPサービスを目指します。地図・位置情報付コンテンツのASP事業は、最新の地図やコンテンツ、リアルタイムで移り変わる情報が提供できるため、通信系のナビゲーションシステムで活用できるなどITS(高度道路交通システム)の一部を担います。,東京都港区芝浦3-1-1,2000,,38.9,372,"2,283百万円",http://www.zenrin-datacom.net/,
2024-08-01,株式会社サーバーワークス,システムインテグレータ（SIer）,51,■事業内容1.クラウドコンピューティングを活用したシステム企画・開発及び運用2.インターネット関連システムの企画・開発及び運用3.SaaS/ASPサービス/IT商品の企画・開発及び運用,東京都新宿区揚場町1-21飯田橋升本ビル2F,2000,スタンダード市場,36.7,234,"3,253百万円",http://www.serverworks.co.jp/,
2024-08-01,株式会社ＤＴＳインサイト,ベンダ（ハードウェア・ソフトウェア）,20,＜車載機器 計測・評価支援 受託開発＞車載システムの高度化・複雑化に対応し、最新の開発環境を始め品質の妥当性検証や不具合解析など、作業の負荷軽減を図るツールをご提供しています。＜医療機器 開発支援 受託開発＞医療システムでは、非常に安全性が重視されます。＜その他組込み機器開発支援 受託開発＞情報家電、産業用機器などに代表される組込み機器を開発しているお客様に向けて、開発支援ツールやソリューションを提供しています。＜デジタルテレビジョン放送 監視・解析・計測機器＞最新技術や規格に対応したデジタル放送用監視・解析・計測機器などを提供しています。,東京都渋谷区代々木4-30-3新宿MIDWESTビル6F,2001,,39.7,380,200百万円,https://www.dts-insight.co.jp/,
2024-08-01,ベイシス株式会社,ベンダ（ハードウェア・ソフトウェア）,17,■事業内容「ICTで世の中をもっと便利に」をミッションに、モバイル通信やWi-Fiのネットワーク構築等を行うインフラテック企業です。2000年の創業時より、携帯電話やインターネットの普及に歩みを合わせ、堅調に成長して参りました。直近では5G通信の普及開始により業績は極めて好調です。またこれまでの通信機器・設備に関するノウハウを活かし、新たな成長エンジンとしてIoT事業をスタートしており、こちらも直近1年で新規顧客獲得率が数倍になるなど、多くのお客様からお引き合いを頂いています。今後も通信インフラの構築を通じ、世の中にICTによる利便性をご提供することで、社会貢献と事業成長を実現します。,東京都港区芝公園2-4-1芝パークビルB館13F,2000,グロース市場,35.5,386,331百万円,https://www.basis-corp.jp/,
2024-08-01,株式会社ｅｃｂｅｉｎｇ（イーシービーング）,ベンダ（ハードウェア・ソフトウェア）,12,"■概要：株式会社ecbeingは、国内で唯一のECサイト向けワンストップソリューションカンパニーです。自社開発のプラットフォームシステム「ecbeing」販売を軸として、ビジネスコンサルティング、マーケティングコンサルティング、サイト制作、ブランディングまで幅広いサービスを提供しております。これまで大手企業を中心に1,500件以上の実績を有しており、市場シェア圧倒的一位の座を確立しております。",東京都渋谷区渋谷2-15-1渋谷クロスタワー,2012,,,931,200百万円,http://www.ecbeing.net/,
2024-08-01,株式会社トランザクション・メディア・ネットワークス,ベンダ（ハードウェア・ソフトウェア）,36,■当社について私たちは、「ありえないを、やり遂げる。」というミッションの元、「キャッシュレス決済事業」と「情報プロセシング事業」の2軸で事業拡大を目指しております。,東京都中央区日本橋2-11-2太陽生命日本橋ビル18F,2008,グロース市場,39.5,286,"615,090百万円",http://tm-nets.com/,
2024-08-01,タック 株式会社,システムインテグレータ（SIer）,22,【企業概要】当社は、東証プライム上場のイビデン株式会社（情報端末向け高密度プリント配線板やICパッケージ基板を主力に 常に世界トップレベルの技術を提供する企業）の100％出資子会社であるユーザ系システム会社です。イビデン株式会社の社内情報システム開発部門が独立分社し1976年に誕生しました。現在、イビデン株式会社、グループ会社向けのシステム開発事業と医療分野のシステム開発事業を行っております。現場を見つめ、使う人の視点で開発されたITソリューションシステム「匠シリーズ」も、BtoBからBtoCの領域へ事業フィールドを拡大。徹底したお客様目線で、使いやすさとともに進化を続けております。,岐阜県大垣市小野4-35-12ソフトピアジャパンA-14,1976,,37.6,419,60百万円,http://www.taknet.co.jp/,
2024-07-01,HOUSEI株式会社,ベンダ（ハードウェア・ソフトウェア）,13,■HOUSEI株式会社について：『印刷メディア領域におけるIT』分野を根幹に、幅広い業界にITサービス提供を行っています。永年積み重ねた実績は、多くのクライアントからの支持を頂いただいている証しでもあり、長期間取引しているお客様が多数いらっしゃいます。また受託しているシステム開発はほとんどが顧客の一次請けです。事業領域は、「ITシステム事業」「メディア事業（紙媒体）」「金融事業」「医療医薬事業」「不動産事業」「広告事業」「小売業」と多岐に渡っています。,東京都新宿区津久戸町1-8神楽坂AKビル9F,1996,グロース市場,,175,631百万円,https://www.housei-inc.com/,
2024-07-01,ＳＣＳＫシステムマネジメント株式会社,ベンダ（ハードウェア・ソフトウェア）,1,■オンプレミス運用、データセンター運用■サービス内容：業務運用（医療情報サポート等）、システム運用、サービスデスク、オペレーション、システム監視、自動化開発、インフラ維持管理、セキュリティ運用、クラウド運用、ITサービス管理,東京都江東区豊洲3-2-20 豊洲フロント,2004,,48.4,345,1億円（SCSK株式会社100％子会社）,https://www.scsksm.co.jp/t,代表取締役社長 田辺 正幸
2024-07-01,株式会社サンネット,ベンダ（ハードウェア・ソフトウェア）,8,■事業内容：（1）公共分野…自治体を取り巻く環境の変化をいち早くキャッチし、その時代に沿ったICT技術を駆使して包括的に自治体業務をサポートします。同社のサービスを利用することにより、行政サービスの一層の向上および行財政事務の効率化が実現できます。（2）医療分野…医療を取り巻く環境は、「個々の施設内の電子化」から、「地域における医療福祉連携の情報化」に拡大しています。同社は、NECの医療機関向けパッケージシステムを中心に、医療情報システムの構築をはじめ、ネットワーク環境の整備やセキュリティ対策を通じて、医療介護分野の情報化に対応します。,広島県広島市中区袋町4-21,1962,,39.0,373,60百万円,https://www.csunnet.co.jp/,
2024-08-01,リンク情報システム株式会社,システムインテグレータ（SIer）,17,■事業内容： システム開発／システム運用／字幕制作主要取引先は放送局や電気メーカー、商社など様々ございます。日本を代表する大手企業から確かな信頼を獲得し35年連続黒字経営の記録を達成。中でも創業者が元職員だったという経緯で、公共放送局とは太いパイプがあります。,東京都千代田区一番町13-1新半蔵門ビル,1977,,39.0,351,50百万円,https://www.lis.co.jp/,
2024-08-01,株式会社アット東京,通信キャリア・ISP・データセンター,26,■概要：最高水準の設備インフラとプロフェッショナルな技術力により、最高水準のサービスを提供し、未来に向けIT社会を支える社会貢献度の大きいデータセンター専業企業、それがアット東京です。同社は社会・お客さまに対する高い使命感・責任感を持つ企業であり、福利厚生面も充実しワークライフバランスにも配慮している企業でもあります。,東京都江東区豊洲5-6-36ヒューリック豊洲プライムスクエア3F,2000,,39.8,337,"13,378百万円",http://www.attokyo.co.jp/,
2024-08-01,株式会社トヨタマップマスター,ベンダ（ハードウェア・ソフトウェア）,8,■事業内容：◇ナビゲーションシステムの商品企画、開発◇ナビゲーションシステム用地図データ、◇関連地図データの企画、調査、制作、販売◇地図データの記録媒体の制作、販売,愛知県名古屋市中村区平池町4-60-12グローバルゲート13F,1998,,42.6,347,480百万円,http://www.mapmaster.co.jp/,
2024-08-01,株式会社キャピタル・アセット・プランニング,システムインテグレータ（SIer）,34,■企業概要：金融機関（生保／銀行／証券等）向け業務コンサルティング、システム開発を手掛け、資産運用のシステムに関しては国内トップクラスの実績を誇るSIer。■特徴：生命保険業界を中心に発展してきたコンサルティングセールスで、生命保険の営業支援ツールを強みとしています。ライフプランニングシステムや保険の設計書申込書システムの導入実績は日本でトップクラス。コンサルティングから開発、導入／教育までを一貫して提供しています。最先端の仕組みを取り入れる為の取組みにより、大手と多数の取引があります。,大阪府大阪市北区堂島2-4-27JRE堂島タワー6F・7F,1990,スタンダード市場,38.0,329,941百万円,https://www.cap-net.co.jp/,
2024-07-01,株式会社 ジェーエムエーシステムズ,システムインテグレータ（SIer）,3,■企業概要：ジェーエムエーシステムズ(JMAS：ジェーマス)は一般社団法人日本能率協会から、1971年に分離独立した企業です。年間売上の実に9割が外販(日本能率協会グループ外)という、独立系システムインテグレーターです。■主な事業：・エンタープライズ・アプリケーション ソリューション・コンサルティングサービス ・システム受託開発 ・ネットワークインテグレーションサービス,東京都港区海岸1-16-1ニューピア竹芝サウスタワー18F,1971,,39.0,342,381百万円,http://www.jmas.co.jp/,
2024-08-01,NRIシステムテクノ株式会社,ベンダ（ハードウェア・ソフトウェア）,6,■ 事業内容・ 情報システムに関するコンサルティング業務 ・ 情報システムの設計及び開発業務の受託 ・ 情報システムの維持業務の受託・ 各種情報サービスの受託 ・ 情報システムに関するハードウェア及びソフトウェアの賃貸及び売買 ・ 前各号に付帯する一切の業務,神奈川県横浜市西区みなとみらい4-4-1,1990,,40.6,342,100百万円,https://www.nri-st.co.jp/,
2024-08-01,キッセイコムテック株式会社,システムインテグレータ（SIer）,22,■システムインテグレーション、システムリソース、メディカルシステム、情報関連機器販売を事業とするシステムインテグレータ。■現在、実現されつつある高度情報ネットワーク社会は、距離や時間、コミュニケーションの概念を大きく様変わりさせ、 『人・物・金』だけではなく、『時間・情報・文化』等が重要な経営資源となる時代を迎えています。 その高度情報化社会の発展を担うべく、豊富な知識と高度な技術を融合した独自の情報サービス提供を行っていきます。■環境：平均勤続年数15.2年と『長期的、かつ継続的に成長を目指せる環境』を整えています。,長野県松本市和田4010-10,1985,,40.2,379,334百万円,http://www.kicnet.co.jp/,
2024-06-01,株式会社佐賀電算センター,システムインテグレータ（SIer）,3,■事業内容： 佐賀県のIT業界では最大手で、SDCグループ5社の中核企業として、情報化に関する総合的なサービスを提供しています。システムインテグレーション／パッケージソフトウェア開発・販売／システム構築・スクラッチ開発／クラウドサービス／ITインフラ構築／ITハードウェア・ソフトウェア販売BPO（ビジネスプロセスアウトソーシング）／デジタルトランスフォーメーション（DX）コンサルティング／AI・RPA導入支援／ITに関する講習会・研修会,佐賀県佐賀市兵庫町大字藤木1427-7,1975,,,342,80百万円,https://www.sdcns.co.jp/,
2024-08-01,株式会社ブライエ,ITアウトソーシング,6,■事業内容：コンピュータに関するテクニカルサポート、ヘルプデスク等のサポートサービス、大手WEBサイト運用などを主な事業としています。設立38周年を迎えましたが、安定して黒字経営を続けています。,東京都品川区南大井6-20-14イーストスクエア大森4F,1986,,37.0,350,140百万円,https://www.brigh-e.co.jp,
2024-07-01,ヤマハモーターソリューション株式会社,ITコンサルティング,18,■概要：ヤマハ発動機グループの情報システムの構築・運用を行うITトータルソリューションカンパニーです。,静岡県磐田市岩井2000-1,1986,,40.0,394,100百万円,https://www.ymsl.co.jp/,
2024-07-01,名鉄協商株式会社,システムインテグレータ（SIer）,1,■IT開発社内向システム開発や社内インフラの管理・運用、WEBサイトの構築・分析、ITに関する企画提案■各種商品販売／各種サービス建設事業、ベンディング事業、オフィス用品事業、リサイクル省エネ事業、食品事業、ベーカリー事業、ホテル事業、ファイナンス事業、タイヤ事業、海外輸出支援事業、店舗事業など■パーキング事業■モビリティ事業カーリース、カーシェアリング、保険など■不動産事業,愛知県名古屋市中村区名駅南二丁目14番19号住友生命名古屋ビル10階,1971,,,321,"7億2,000万円",https://www.mkyosho.co.jp/,代表取締役 小林 昌弘
2024-08-01,サイバネットシステム株式会社,ベンダ（ハードウェア・ソフトウェア）,23,【重要】富士ソフト社とは、これまで親子上場をしておりましたが、2024年2月9日に当社を含む子会社4社が上場廃止し、富士ソフト社の完全子会社となります。今後はグループ全体での運営を通じてシナジーを追求し、お客様への提供価値向上を目指します。,東京都千代田区神田練塀町3,1985,,43.0,571,995百万円,"Failed to retrieve page, status code: 410",
2024-07-01,株式会社パワーソリューションズ,システムインテグレータ（SIer）,6,～ラストワンマイルのパイオニア～創業以来、大手IT企業から提供される汎用的な業務パッケージやＩＴサービスを活用するお客様が、あともう一歩ＩＴでなんとかしたい領域を「ラストワンマイル領域」と呼称し、そこを「埋める」ことに専門特化してビジネスを拡大してきました。そして「ラストワンマイルのパイオニア」を標榜し、2019年10月に東京証券取引所マザーズ市場へ上場致しました。,東京都千代田区九段北1-13-5ヒューリック九段ビル,2002,グロース市場,37.0,283,399百万円,https://www.powersolutions.co.jp/,
2024-08-01,株式会社東証コンピュータシステム,システムインテグレータ（SIer）,12,■概要：同社は東京証券取引所の機械・計算部門から独立し、1961年に誕生しました。以来、証券取引市場の中枢を担う様々なシステムの開発、運用管理に携わっています。日本の証券業界における中立的、公共的なシステムベンダーとして、豊富な業務知識と高度な技術力で次代の証券業界を創造していきます。■詳細：2004年10月から富士ソフトのグループ会社となった同社では東証で使用されているシステムの中核を担う企業として、今後さらなるビジネスの拡大を視野に入れた活動に取り組んでいます。加えて同社でもネットワークを駆使したさまざまなサービスを視野に入れています。,東京都江東区東陽2-4-14三井ウッディビル3F,1961,,,355,400百万円,https://www.tcs.co.jp/,
2024-08-01,株式会社オプティマ,システムインテグレータ（SIer）,33,■事業内容(1)システムインテグレーション・サービス(2)自治体、金融機関向けソフトウェアパッケージ・ソフトウェアの開発・販売(3)システムの受託開発(4)Webソリューション(5)コンピューター・システムの指導、教育,東京都品川区大崎3-5-2エステージ大崎4F,1972,,39.1,339,100百万円,http://www.opt.co.jp,
2024-08-01,株式会社フレクト,システムインテグレータ（SIer）,14,■主な事業◎クラウドインテグレーション事業 ・クラウド先端テクノロジーによるDX支援のプロフェッショナルサービス◎Cariot事業 ・SaaS/PaaSモビリティ業務最適化クラウドサービス,東京都港区芝浦1-1-1浜松町ビルディング11F,2005,グロース市場,38.0,324,701百万円,http://www.flect.co.jp/,
